1971,USA,CAN,BHS,CUB,HTI,DOM,JAM,TTO,BRB,DMA,GRD,LCA,VCT,ATG,KNA,MEX,BLZ,GTM,HND,SLV,NIC,CRI,PAN,COL,VEN,GUY,SUR,ECU,PER,BRA,BOL,PRY,CHL,ARG,URY,GBR,IRL,NLD,BEL,LUX,FRA,MCO,LIE,CHE,ESP,AND,PRT,DEU,POL,AUT,HUN,CZE,SVK,ITA,SMR,MLT,ALB,MNE,MKD,HRV,SRB,BIH,SVN,GRC,CYP,BGR,MDA,ROU,RUS,EST,LVA,LTU,UKR,BLR,ARM,GEO,AZE,FIN,SWE,NOR,DNK,ISL,CPV,STP,GNB,GNQ,GMB,MLI,SEN,BEN,MRT,NER,CIV,GIN,BFA,LBR,SLE,GHA,TGO,CMR,NGA,GAB,CAF,TCD,COG,COD,UGA,KEN,TZA,BDI,RWA,SOM,DJI,ETH,ERI,AGO,MOZ,ZMB,ZWE,MWI,ZAF,NAM,LSO,BWA,SWZ,MDG,COM,MUS,SYC,MAR,DZA,TUN,LBY,SDN,SSD,IRN,TUR,IRQ,EGY,SYR,LBN,JOR,ISR,SAU,YEM,KWT,BHR,QAT,ARE,OMN,AFG,TKM,TJK,KGZ,UZB,KAZ,CHN,MNG,TWN,PRK,KOR,JPN,IND,BTN,PAK,BGD,MMR,LKA,MDV,NPL,THA,KHM,LAO,VNM,MYS,SGP,BRN,PHL,IDN,TLS,AUS,PNG,NZL,VUT,SLB,KIR,TUV,FJI,TON,NRU,MHL,PLW,FSM,WSM
USA,-2,0.621276596,0.341269841,0.300220751,0.468571429,0.486075949,0.370044053,0.346987952,0.448019802,-2,0.325757576,-2,-2,-2,-2,0.380434783,-2,0.455607477,0.465227818,0.456730769,0.555825243,0.493421053,0.436893204,0.43187067,0.39869281,0.343963554,-2,0.393867925,0.341991342,0.460869565,0.50273224,0.503856041,0.411504425,0.390928726,0.473333333,0.75862069,0.561965812,0.650423729,0.685106383,0.687772926,0.639308855,-2,-2,-2,0.498915401,-2,0.561674009,0.673640167,0.312765957,0.523305085,0.309168443,-2,-2,0.663135593,-2,0.37593985,0.206779661,-2,-2,-2,0.332622601,-2,-2,0.502164502,0.347161572,0.314225053,-2,0.316593886,0.312101911,-2,-2,-2,0.314775161,0.307692308,-2,-2,-2,0.482978723,0.493644068,0.542372881,0.597457627,0.47597254,0,0,0.294642857,0.334190231,0.367088608,0.311258278,0.337748344,0.366197183,0.346067416,0.369515012,0.425485961,0.305164319,0.381294964,0.443418014,0.343980344,0.381578947,0.351893096,0.325274725,0.323725055,0.394444444,0.448548813,0.35207824,0.345238095,0.401869159,0.343544858,0.346236559,0.322368421,0.345982143,0.382222222,0.329383886,-2,0.35371179,-2,-2,0.307692308,0.312910284,-2,0.524456522,0.707112971,-2,0.402088773,0.317808219,0.426426426,0.392624729,0.222222222,0.32967033,-2,0.37037037,0.301927195,0.361471861,0.334070796,0.331848552,-2,0.39055794,0.452586207,0.297560976,0.354401806,0.311778291,0.358669834,0.398169336,0.639908257,0.34625323,0.341085271,0.314977974,0.326621924,0.352112676,0.316062176,0.323076923,0.348484848,-2,-2,-2,-2,-2,0.22829582,0.315450644,1,-2,-2,0.529787234,0.323275862,0.340782123,0.353467562,0.242857143,0.329741379,0.3387471,0.397058824,0.38021978,0.426724138,0.456582633,0.418719212,-2,0.36637931,0.391684902,-2,0.429515419,0.35106383,-2,0.524416136,0.264150943,0.519230769,-2,-2,-2,-2,0.439276486,-2,-2,-2,-2,-2,-2
CAN,0.621276596,-2,0.634920635,0.389867841,0.609065156,0.618686869,0.534065934,0.533492823,0.580246914,-2,0.621212121,-2,-2,-2,-2,0.557483731,-2,0.617715618,0.618138425,0.625298329,0.606796117,0.60745614,0.579710145,0.612903226,0.576086957,0.495454545,-2,0.557647059,0.516198704,0.5835141,0.615803815,0.62244898,0.55187638,0.55387931,0.634146341,0.689507495,0.808102345,0.799154334,0.789808917,0.790849673,0.614224138,-2,-2,-2,0.610869565,-2,0.567032967,0.786610879,0.377919321,0.78012685,0.370212766,-2,-2,0.799154334,-2,0.53,0.364864865,-2,-2,-2,0.504255319,-2,-2,0.622030238,0.51626898,0.377118644,-2,0.435729847,0.375,-2,-2,-2,0.376068376,0.375824176,-2,-2,-2,0.743099788,0.756871036,0.805496829,0.849894292,0.724373576,0,0,0.544642857,0.485861183,0.5,0.460526316,0.5,0.487119438,0.497757848,0.51843318,0.579741379,0.460280374,0.545238095,0.576036866,0.514705882,0.544857768,0.528888889,0.506578947,0.513274336,0.504155125,0.531578947,0.486552567,0.471563981,0.535962877,0.483660131,0.540598291,0.488017429,0.495555556,0.554083885,0.520094563,-2,0.52494577,-2,-2,0.492307692,0.486899563,-2,0.6,0.561983471,-2,0.572916667,0.497282609,0.613772455,0.519480519,0.555555556,0.501818182,-2,0.51954023,0.450854701,0.505399568,0.509933775,0.511111111,-2,0.565310493,0.603448276,0.459854015,0.511261261,0.497695853,0.476303318,0.52402746,0.636986301,0.455958549,0.502564103,0.501103753,0.473214286,0.504694836,0.510309278,0.501272265,0.488172043,-2,-2,-2,-2,-2,0.371794872,0.374732334,0.444444444,-2,-2,0.704883227,0.470967742,0.527932961,0.513392857,0.471428571,0.501075269,0.520833333,0.544117647,0.572368421,0.566810345,0.628169014,0.616707617,-2,0.528907923,0.561135371,-2,0.56043956,0.503184713,-2,0.744680851,0.641509434,0.727078891,-2,-2,-2,-2,0.594871795,-2,-2,-2,-2,-2,-2
BHS,0.341269841,0.634920635,-2,0.508064516,0.821052632,0.775700935,0.68852459,0.661157025,0.823529412,-2,0.779069767,-2,-2,-2,-2,0.698412698,-2,0.770642202,0.752475248,0.810344828,0.621359223,0.73015873,0.763636364,0.764227642,0.764227642,0.641025641,-2,0.728813559,0.696,0.647540984,0.676190476,0.770833333,0.711864407,0.637096774,0.730434783,0.459677419,0.650793651,0.563492063,0.531746032,0.555555556,0.398373984,-2,-2,-2,0.620967742,-2,0.579365079,0.496,0.547619048,0.73015873,0.544,-2,-2,0.531746032,-2,0.663793103,0.587628866,-2,-2,-2,0.642857143,-2,-2,0.680327869,0.672131148,0.531746032,-2,0.593495935,0.53968254,-2,-2,-2,0.53968254,0.53968254,-2,-2,-2,0.619047619,0.626984127,0.658730159,0.634920635,0.731707317,0,0.125,0.628205128,0.633027523,0.662790698,0.616666667,0.629032258,0.634782609,0.641666667,0.641025641,0.768,0.583333333,0.683760684,0.743362832,0.681818182,0.675,0.652892562,0.653225806,0.666666667,0.566666667,0.69,0.592592593,0.640350877,0.637931034,0.639344262,0.648,0.658536585,0.575221239,0.680327869,0.652173913,-2,0.697478992,-2,-2,0.5,0.62601626,-2,0.660194175,0.275862069,-2,0.752066116,0.661157025,0.741935484,0.64,0.565217391,0.577777778,-2,0.686956522,0.56,0.641666667,0.68907563,0.650793651,-2,0.642276423,0.707317073,0.566666667,0.669491525,0.617886179,0.654867257,0.682926829,0.446428571,0.568421053,0.640776699,0.637096774,0.626984127,0.656,0.620967742,0.694214876,0.64516129,-2,-2,-2,-2,-2,0.613861386,0.536,-2,-2,-2,0.619047619,0.572580645,0.63963964,0.64,0.535714286,0.677419355,0.653225806,0.142857143,0.733333333,0.736,0.819047619,0.711864407,-2,0.714285714,0.745901639,-2,0.73015873,0.68,-2,0.801587302,0.423076923,0.832,-2,-2,-2,-2,0.754237288,-2,-2,-2,-2,-2,-2
CUB,0.300220751,0.389867841,0.508064516,-2,0.539358601,0.498687664,0.630136986,0.664160401,0.525641026,-2,0.576923077,-2,-2,-2,-2,0.630630631,-2,0.541262136,0.545905707,0.4875,0.424242424,0.487471526,0.5975,0.546539379,0.564334086,0.749408983,-2,0.631961259,0.686800895,0.536036036,0.43220339,0.42287234,0.649082569,0.604026846,0.463133641,0.341517857,0.442477876,0.364035088,0.363436123,0.380090498,0.371364653,-2,-2,-2,0.501128668,-2,0.383561644,0.317596567,0.843612335,0.458333333,0.850220264,-2,-2,0.390350877,-2,0.637075718,0.810526316,-2,-2,-2,0.772626932,-2,-2,0.591517857,0.68988764,0.841758242,-2,0.837104072,0.843956044,-2,-2,-2,0.847006652,0.853881279,-2,-2,-2,0.517621145,0.456140351,0.456140351,0.418859649,0.509478673,1,1,0.756756757,0.781914894,0.662337662,0.758542141,0.703196347,0.680387409,0.753488372,0.69138756,0.612975391,0.803357314,0.643391521,0.619047619,0.709923664,0.638636364,0.692840647,0.715261959,0.71559633,0.634005764,0.6,0.705882353,0.756157635,0.648058252,0.714285714,0.668151448,0.759637188,0.75,0.687356322,0.752475248,-2,0.669683258,-2,-2,0.84375,0.750566893,-2,0.360335196,0.267241379,-2,0.611413043,0.690140845,0.588785047,0.716853933,0.8,0.71969697,-2,0.693045564,0.789823009,0.69955157,0.736238532,0.748267898,-2,0.662222222,0.651006711,0.793450882,0.737209302,0.762589928,0.660933661,0.676886792,0.387173397,0.707774799,0.781671159,0.755707763,0.709976798,0.698296837,0.716216216,0.728,0.713004484,-2,-2,-2,-2,-2,0.765100671,0.844789357,0.222222222,-2,-2,0.440528634,0.747767857,0.687861272,0.712296984,0.688405797,0.683741648,0.721822542,0.672413793,0.637813212,0.628635347,0.637681159,0.597435897,-2,0.689732143,0.612244898,-2,0.643181818,0.68061674,-2,0.465783664,0.5,0.461368653,-2,-2,-2,-2,0.575596817,-2,-2,-2,-2,-2,-2
HTI,0.468571429,0.609065156,0.821052632,0.539358601,-2,0.844594595,0.771260997,0.748502994,0.871710526,-2,0.825688073,-2,-2,-2,-2,0.75659824,-2,0.829652997,0.822629969,0.804154303,0.771159875,0.843023256,0.810126582,0.8125,0.800578035,0.712990937,-2,0.778816199,0.735632184,0.702312139,0.805280528,0.77739726,0.737463127,0.713043478,0.797653959,0.462643678,0.667621777,0.59490085,0.564102564,0.591836735,0.404624277,-2,-2,-2,0.674486804,-2,0.49702381,0.557291667,0.504273504,0.668555241,0.497142857,-2,-2,0.580736544,-2,0.739130435,0.617777778,-2,-2,-2,0.706552707,-2,-2,0.690751445,0.757142857,0.497159091,-2,0.634782609,0.497159091,-2,-2,-2,0.498575499,0.504477612,-2,-2,-2,0.625,0.614730878,0.645892351,0.631728045,0.738738739,0.125,0.111111111,0.681818182,0.689768977,0.764705882,0.697947214,0.746355685,0.744615385,0.708333333,0.743975904,0.833333333,0.663663664,0.761329305,0.80495356,0.731861199,0.782352941,0.766961652,0.737609329,0.74852071,0.77173913,0.760714286,0.708737864,0.691358025,0.791411043,0.706051873,0.742120344,0.684813754,0.694117647,0.784883721,0.711656442,-2,0.740634006,-2,-2,0.549019608,0.693877551,-2,0.6910299,0.447368421,-2,0.834459459,0.740614334,0.815384615,0.76504298,0.666666667,0.714285714,-2,0.752212389,0.690544413,0.760115607,0.752238806,0.723342939,-2,0.772988506,0.764367816,0.711598746,0.744680851,0.722713864,0.753846154,0.789156627,0.640243902,0.718213058,0.684745763,0.708333333,0.723723724,0.731012658,0.71884984,0.757575758,0.705714286,-2,-2,-2,-2,-2,0.656521739,0.504297994,1,-2,-2,0.640226629,0.676217765,0.734265734,0.709677419,0.626086957,0.716332378,0.726726727,0.708333333,0.774566474,0.804597701,0.832142857,0.782747604,-2,0.78125,0.760115607,-2,0.84660767,0.76203966,-2,0.745714286,0.790697674,0.747159091,-2,-2,-2,-2,0.788961039,-2,-2,-2,-2,-2,-2
DOM,0.486075949,0.618686869,0.775700935,0.498687664,0.844594595,-2,0.757105943,0.728813559,0.820289855,-2,0.834710744,-2,-2,-2,-2,0.771208226,-2,0.848238482,0.829608939,0.805555556,0.830028329,0.848329049,0.844632768,0.815217391,0.819587629,0.681818182,-2,0.761111111,0.739795918,0.742268041,0.845425868,0.797687861,0.744245524,0.718670077,0.843342037,0.434782609,0.654822335,0.59798995,0.560606061,0.573979592,0.392307692,-2,-2,-2,0.684754522,-2,0.535433071,0.521276596,0.455919395,0.683417085,0.448101266,-2,-2,0.567839196,-2,0.730113636,0.514644351,-2,-2,-2,0.693670886,-2,-2,0.661538462,0.733850129,0.443324937,-2,0.579896907,0.445843829,-2,-2,-2,0.446969697,0.45,-2,-2,-2,0.64231738,0.650753769,0.670854271,0.635678392,0.730458221,0.375,0.4,0.692307692,0.66163142,0.71291866,0.664921466,0.72845953,0.726519337,0.673740053,0.746630728,0.81122449,0.626038781,0.733524355,0.793478261,0.701449275,0.755784062,0.714285714,0.710182768,0.729381443,0.718446602,0.71835443,0.679300292,0.663888889,0.785714286,0.686375321,0.734693878,0.67357513,0.665796345,0.730366492,0.675,-2,0.711340206,-2,-2,0.689655172,0.671834625,-2,0.675241158,0.492385787,-2,0.822629969,0.714285714,0.802768166,0.76092545,0.666666667,0.706382979,-2,0.702479339,0.647208122,0.730769231,0.727748691,0.695767196,-2,0.74559194,0.715384615,0.654069767,0.705882353,0.672176309,0.715469613,0.740641711,0.651474531,0.709480122,0.661585366,0.684210526,0.692307692,0.702777778,0.697819315,0.714285714,0.648717949,-2,-2,-2,-2,-2,0.545816733,0.454314721,1,-2,-2,0.664141414,0.636828645,0.702702703,0.692105263,0.691056911,0.654731458,0.685483871,0.714285714,0.721354167,0.753180662,0.815068493,0.743440233,-2,0.735368957,0.718346253,-2,0.798429319,0.724747475,-2,0.703797468,0.867924528,0.749367089,-2,-2,-2,-2,0.798798799,-2,-2,-2,-2,-2,-2
JAM,0.370044053,0.534065934,0.68852459,0.630136986,0.771260997,0.757105943,-2,0.890243902,0.754475703,-2,0.795454545,-2,-2,-2,-2,0.880898876,-2,0.756626506,0.757352941,0.755555556,0.668341709,0.712669683,0.868486352,0.787589499,0.84009009,0.854460094,-2,0.824817518,0.850446429,0.741573034,0.721126761,0.744063325,0.754545455,0.805803571,0.712328767,0.385300668,0.646799117,0.538293217,0.479120879,0.50896861,0.366071429,-2,-2,-2,0.650900901,-2,0.504545455,0.423423423,0.593406593,0.658643326,0.588105727,-2,-2,0.516411379,-2,0.869565217,0.695804196,-2,-2,-2,0.81938326,-2,-2,0.691964286,0.853932584,0.587719298,-2,0.729119639,0.587719298,-2,-2,-2,0.588495575,0.596810934,-2,-2,-2,0.703947368,0.656455142,0.645514223,0.573304158,0.727699531,0.571428571,0.666666667,0.845454545,0.798941799,0.864035088,0.803167421,0.846846847,0.845783133,0.801385681,0.864608076,0.837416481,0.774580336,0.866995074,0.796650718,0.865822785,0.873873874,0.826484018,0.845804989,0.841628959,0.813559322,0.769647696,0.851758794,0.813267813,0.894230769,0.810810811,0.875831486,0.813063063,0.801822323,0.856164384,0.825123153,-2,0.862612613,-2,-2,0.875,0.826966292,-2,0.528089888,0.371308017,-2,0.832891247,0.850704225,0.834862385,0.836689038,0.914285714,0.847583643,-2,0.816229117,0.774834437,0.832589286,0.801369863,0.829493088,-2,0.802660754,0.762222222,0.775,0.819861432,0.816901408,0.819951338,0.793911007,0.518957346,0.787798408,0.800531915,0.824200913,0.843317972,0.821256039,0.841397849,0.80952381,0.787946429,-2,-2,-2,-2,-2,0.728476821,0.595132743,0.888888889,-2,-2,0.650549451,0.783964365,0.846153846,0.803240741,0.865671642,0.800443459,0.813842482,0.848484848,0.818594104,0.844444444,0.855882353,0.851010101,-2,0.828888889,0.840807175,-2,0.856818182,0.821978022,-2,0.691629956,0.865384615,0.682119205,-2,-2,-2,-2,0.809018568,-2,-2,-2,-2,-2,-2
TTO,0.346987952,0.533492823,0.661157025,0.664160401,0.748502994,0.728813559,0.890243902,-2,0.740112994,-2,0.78125,-2,-2,-2,-2,0.87960688,-2,0.740837696,0.729946524,0.703324808,0.652892562,0.70617284,0.830645161,0.787179487,0.828431373,0.89769821,-2,0.842245989,0.882640587,0.709756098,0.696793003,0.687134503,0.792592593,0.784841076,0.69382716,0.417475728,0.615942029,0.526315789,0.483173077,0.495073892,0.408312958,-2,-2,-2,0.665024631,-2,0.488778055,0.417840376,0.630695444,0.650717703,0.624096386,-2,-2,0.507177033,-2,0.843137255,0.762264151,-2,-2,-2,0.860576923,-2,-2,0.700980392,0.882640587,0.618705036,-2,0.769417476,0.621103118,-2,-2,-2,0.622276029,0.6325,-2,-2,-2,0.701923077,0.660287081,0.626794258,0.566985646,0.727040816,0.625,0.7,0.851851852,0.873925501,0.829383886,0.850746269,0.841463415,0.810026385,0.839694656,0.847769029,0.826829268,0.823218997,0.838461538,0.787401575,0.876712329,0.866995074,0.869458128,0.886699507,0.906633907,0.751552795,0.723723724,0.855955679,0.857526882,0.832460733,0.844827586,0.891304348,0.875305623,0.851758794,0.860349127,0.880319149,-2,0.888077859,-2,-2,0.870967742,0.870731707,-2,0.486725664,0.325892857,-2,0.8,0.850746269,0.798679868,0.827250608,0.916666667,0.839215686,-2,0.87755102,0.826086957,0.86097561,0.859649123,0.878712871,-2,0.839805825,0.783980583,0.814713896,0.863636364,0.861538462,0.865789474,0.824742268,0.507772021,0.81547619,0.857954545,0.87,0.855696203,0.855227882,0.882022472,0.851744186,0.834549878,-2,-2,-2,-2,-2,0.769503546,0.628915663,0.5,-2,-2,0.636363636,0.832524272,0.854545455,0.857142857,0.9,0.861313869,0.866840731,0.819672131,0.815724816,0.817518248,0.839879154,0.811827957,-2,0.877403846,0.820638821,-2,0.843672457,0.838942308,-2,0.674698795,0.865384615,0.658653846,-2,-2,-2,-2,0.770718232,-2,-2,-2,-2,-2,-2
BRB,0.448019802,0.580246914,0.823529412,0.525641026,0.871710526,0.820289855,0.754475703,0.740112994,-2,-2,0.830645161,-2,-2,-2,-2,0.72979798,-2,0.782608696,0.776243094,0.771349862,0.769662921,0.820253165,0.792717087,0.767567568,0.767088608,0.706349206,-2,0.76819407,0.720698254,0.674242424,0.788990826,0.738028169,0.725641026,0.676691729,0.783163265,0.43,0.640198511,0.562653563,0.528395062,0.556390977,0.389447236,-2,-2,-2,0.621212121,-2,0.470588235,0.529411765,0.512315271,0.653562654,0.504950495,-2,-2,0.535626536,-2,0.696793003,0.564885496,-2,-2,-2,0.722772277,-2,-2,0.617128463,0.73989899,0.5,-2,0.631043257,0.502463054,-2,-2,-2,0.502487562,0.508997429,-2,-2,-2,0.633004926,0.633906634,0.626535627,0.619164619,0.703412073,0.375,0.4,0.647619048,0.686956522,0.684210526,0.676923077,0.707692308,0.703504043,0.68134715,0.720207254,0.796992481,0.637362637,0.720338983,0.801630435,0.713498623,0.76010101,0.71722365,0.70959596,0.718346253,0.726708075,0.702453988,0.702549575,0.680555556,0.739726027,0.697201018,0.7275,0.697969543,0.678756477,0.728682171,0.685236769,-2,0.739240506,-2,-2,0.661538462,0.695431472,-2,0.662576687,0.378238342,-2,0.792284866,0.710843373,0.773195876,0.725440806,0.75,0.705882353,-2,0.703804348,0.664179104,0.7175,0.729381443,0.707379135,-2,0.714640199,0.695760599,0.659574468,0.724226804,0.693506494,0.717032967,0.724867725,0.628647215,0.672566372,0.664670659,0.695090439,0.692695214,0.696,0.685131195,0.71388102,0.6675,-2,-2,-2,-2,-2,0.611510791,0.509950249,0.777777778,-2,-2,0.612345679,0.6825,0.712460064,0.693298969,0.637037037,0.711442786,0.705263158,0.771929825,0.749360614,0.755,0.803986711,0.766197183,-2,0.751879699,0.743718593,-2,0.795918367,0.733333333,-2,0.695544554,0.811320755,0.70719603,-2,-2,-2,-2,0.771771772,-2,-2,-2,-2,-2,-2
DMA,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
